observation_id,timestamp,direction,mean_index,std_dev,mask_pixel_count
116-411508-182041988-202603081817,2026-03-08T18:17:00,South,0.5302739657506429,0.009092836900351066,708338
116-411508-182041988-202603081817,2026-03-08T18:17:00,West,0.5323776707745559,0.006025165038140952,717244
116-412236-182041988-202603071715,2026-03-07T17:15:00,Up,4900.891532623796,1852087.3448741373,857080
116-412236-182041988-202603071715,2026-03-07T17:15:00,North,0.5417501942213594,0.016917604059434675,4326
116-412236-182041988-202603071715,2026-03-07T17:15:00,East,0.5555994018247395,0.05152625848182603,642748
116-412236-182041988-202603071715,2026-03-07T17:15:00,West,0.6675126344622444,0.10001866751382925,638698
116-412236-182041988-202603071704,2026-03-07T17:04:00,North,0.6009744328030215,0.08233893687865776,763239
116-412236-182041988-202603071704,2026-03-07T17:04:00,South,0.5510545639825293,0.040947186025795425,490781
116-412236-182041988-202603071704,2026-03-07T17:04:00,East,0.5674967718641252,0.05736381372047835,650672
116-412236-182041988-202603071704,2026-03-07T17:04:00,West,0.603772148745871,0.09043933811582404,783739
116-411913-181995545-202603071923,2026-03-07T19:23:00,Up,825491.712564356,51689351.96814858,2049205
116-411913-181995545-202603071923,2026-03-07T19:23:00,North,0.7000362072679581,0.06565813232717682,1060689
116-411913-181995545-202603071923,2026-03-07T19:23:00,South,0.562425039166514,0.026878565751011226,23161
116-411913-181995545-202603071923,2026-03-07T19:23:00,East,0.6650786007939704,0.06399183247416788,4820
116-411913-181995545-202603071923,2026-03-07T19:23:00,West,0.6689694169972229,0.08120668543454987,1724970
116-400062-182047116-202603061748,2026-03-06T17:48:00,Up,0.5111278503171583,0.00107597247258458,13067
116-400062-182047116-202603061748,2026-03-06T17:48:00,North,0.5098827018911645,0.00712542053623658,5244166
116-400062-182047116-202603061748,2026-03-06T17:48:00,South,11435.50374401456,3233943.400915698,3113251
116-400062-182047116-202603061748,2026-03-06T17:48:00,East,0.5156723096548103,0.00670559803701803,3185107
116-400062-182047116-202603061748,2026-03-06T17:48:00,West,0.5115509746642944,0.01032929514931537,6202193
116-400062-182047116-202603062113,2026-03-06T21:13:00,Up,0.5127625212802296,0.0016280856174900457,23232
116-400062-182047116-202603062113,2026-03-06T21:13:00,East,0.5136202227969283,0.009878343890438623,3015264
116-400062-182047116-202603062113,2026-03-06T21:13:00,West,0.5046414341298622,0.011990341064245675,6009811
116-400316-181995545-202603062319,2026-03-06T23:19:00,Up,0.5210117291883225,0.017400569089543756,2044601
116-400316-181995545-202603062319,2026-03-06T23:19:00,West,0.5241681373738389,0.013539356350873933,15653
116-411527-182041988-202603061852,2026-03-06T18:52:00,Up,0.527129237103459,0.013992285396350765,857611
116-411527-182041988-202603061852,2026-03-06T18:52:00,North,0.5207628325012791,0.009504933022911086,621773
116-411527-182041988-202603061852,2026-03-06T18:52:00,South,0.5255457952686744,0.01189975746251843,795148
116-411527-182041988-202603061852,2026-03-06T18:52:00,East,0.5272304564797535,0.0119889190873359,754760
116-411527-182041988-202603061852,2026-03-06T18:52:00,West,0.510567325439587,0.011177590473558983,528160
116-400061-181995590-202603061910,2026-03-06T19:10:00,Up,0.5409017469902648,0.010267871429802912,1860476
116-400061-181995590-202603061910,2026-03-06T19:10:00,North,0.5282255829876455,0.011686612983776748,1740865
116-400061-181995590-202603061910,2026-03-06T19:10:00,South,0.5167474573337582,0.005350654275394805,913032
116-400061-181995590-202603061910,2026-03-06T19:10:00,East,45664.780723361735,6224553.15331619,1999373
116-400061-181995590-202603061910,2026-03-06T19:10:00,West,0.5215177340226589,0.004337677393257002,13183
116-411508-182041988-202603061708,2026-03-06T17:08:00,Up,82490.47671689054,5463345.843777744,340647
116-411508-182041988-202603061708,2026-03-06T17:08:00,North,0.5285292080189532,0.012140272853659012,569995
116-411508-182041988-202603061708,2026-03-06T17:08:00,South,0.5218719247054534,0.014074928385671256,708484
116-411508-182041988-202603061708,2026-03-06T17:08:00,East,0.5244940615773392,0.010571073663132315,230200
116-411508-182041988-202603061708,2026-03-06T17:08:00,West,0.5343815620451653,0.01489090560810507,729544
116-412148-182041988-202603052328,2026-03-05T23:28:00,Up,0.8113119442221132,0.05099301530176344,754230
116-412148-182041988-202603052328,2026-03-05T23:28:00,North,0.708649789112013,0.053460646443122324,759318
116-412148-182041988-202603052328,2026-03-05T23:28:00,South,0.8819992556746867,0.07531153994318154,445159
116-412148-182041988-202603052328,2026-03-05T23:28:00,East,0.789647620684674,0.03360788246881845,364371
116-412148-182041988-202603052328,2026-03-05T23:28:00,West,0.6952579877571569,0.042614062861256984,372674
116-400062-182047116-202603051958,2026-03-05T19:58:00,Up,0.5371795029891949,0.023164107869599732,7208694
116-400062-182047116-202603051958,2026-03-05T19:58:00,North,0.5111689726000861,0.012054466039640697,4576012
116-400062-182047116-202603051958,2026-03-05T19:58:00,South,0.5182433655761054,0.012620759385118615,2929852
116-400062-182047116-202603051958,2026-03-05T19:58:00,East,6232761.915685726,82451908.15377711,2693798
116-400062-182047116-202603051958,2026-03-05T19:58:00,West,0.499353947318242,0.00759692162785876,51682
116-400062-182119315-202603052238,2026-03-05T22:38:00,Up,0.544439471449806,0.025412129244113544,2052704
116-400062-182119315-202603052238,2026-03-05T22:38:00,North,0.5454242456319482,0.02483325552434679,1941626
116-400062-182119315-202603052238,2026-03-05T22:38:00,South,0.5230362323102997,0.0066681876281336,4554
116-400062-182119315-202603052238,2026-03-05T22:38:00,East,0.5252848551226409,0.006051694265946338,7171
116-400062-182119315-202603052238,2026-03-05T22:38:00,West,0.5180106687417466,0.010288272238591273,3473
116-400548-182047116-202603051745,2026-03-05T17:45:00,Up,0.5859690492203287,0.04280556123052841,7254430
116-400548-182047116-202603051745,2026-03-05T17:45:00,North,0.5445816467188823,0.03689179119170663,5309419
116-400548-182047116-202603051745,2026-03-05T17:45:00,South,0.533415605277863,0.017602727684962443,6014714
116-400548-182047116-202603051745,2026-03-05T17:45:00,East,0.5530158475769427,0.03776083813323891,5242381
116-400548-182047116-202603051745,2026-03-05T17:45:00,West,0.5316570426901808,0.024577044215924746,6284342
116-411508-182041988-202603051745,2026-03-05T17:45:00,Up,122228.78663156356,6420093.243351024,319893
116-411508-182041988-202603051745,2026-03-05T17:45:00,North,0.5651818454601529,0.041217612936765145,450868
116-411508-182041988-202603051745,2026-03-05T17:45:00,South,0.5393035281482178,0.030351055030294855,703467
116-411508-182041988-202603051745,2026-03-05T17:45:00,East,0.5541394803261164,0.03156503382693954,208094
116-411508-182041988-202603051745,2026-03-05T17:45:00,West,0.5976563137222852,0.04669177063356711,761290
116-411527-182041988-202603051518,2026-03-05T15:18:00,Up,0.6610345714656538,0.06533981768619017,861893
116-411527-182041988-202603051518,2026-03-05T15:18:00,North,0.5708417004095837,0.04005664743369165,555877
116-411527-182041988-202603051518,2026-03-05T15:18:00,South,0.5775486136653301,0.045960200901936386,735283
116-411527-182041988-202603051518,2026-03-05T15:18:00,East,0.5678472128217812,0.04803348857003906,695325
116-411527-182041988-202603051518,2026-03-05T15:18:00,West,0.6238718826236522,0.05343578184549995,503478
